// NAME,RELOAD,RECOIL,SHUDDER,SIZE,HEALTH,DAMAGE,PEN,SPEED,MAX,RANGE,DENSITY,SPRAY,RESIST
triple,1.2,0.667,0.9,1,0.85,0.85,0.9,1,1,1,1.1,0.9,0.95
quint,1.5,0.667,0.9,1,1,1,0.9,1,1,1,1.1,0.9,0.95
dual,2,1,0.8,1,1.5,1,1,1.3,1.1,1,1,1,1.25
double,1,1,1,1,1,0.9,1,1,1,1,1,1,1
hewn,1.25,1.5,1,1,0.9,0.85,1,1,0.9,1,1,1,1
puregunner,1,0.25,1.5,1.2,1.35,0.25,1.25,0.8,0.65,1,1.5,1.5,1.2
machgun,0.66,0.8,2,1,1,0.75,1,1.2,0.8,1,1,2.5,1
gunner,1.25,0.25,1.5,1.1,1,0.35,1.35,0.9,0.8,1,1.5,1.5,1.2
power,1,1,0.6,1.2,1,1,1.25,2,1.7,1,2,0.5,1.5
nail,0.85,2.5,1,0.8,1,0.7,1,1,1,1,2,1,1
fast,1,1,1,1,1,1,1,1.2,1,1,1,1,1
turret,2,1,1,1,0.8,0.6,0.7,1,1,1,0.1,1,1
battle,1,1,1,1,1.25,1.15,1,1,0.85,1,1,1,1.1
bees,1.3,1,1,1.4,1,1.5,0.5,3,1.5,1,0.25,1,1
carrier,1.5,1,1,1,1,0.8,1,1.3,1.2,1.2,1,1,1
hexatrap,1.3,1,1.25,1,1,1,1,0.8,1,0.5,1,1,1
block,1.1,2,0.1,1.5,2,1,1.25,1.5,2.5,1.25,1,1,1.25
construct,1.3,1,1,0.9,1,1,1,1,1.1,1,1,1,1
boomerang,0.8,1,1,1,0.5,0.5,1,0.75,0.75,1.333,1,1,1
over,1.25,1,1,0.85,0.7,0.8,1,1,0.9,1,2,1,1
meta,1.333,1,1,1,1,0.667,1,1,1,1,1,1,1
weak,2,1,1,1,0.6,0.6,0.8,0.5,0.7,0.25,0.3,1,1
master,3,1,1,0.7,0.4,0.7,1,1,1,0.1,0.5,1,1
sunchip,5,1,1,1.4,0.5,0.4,0.6,1,1,1,0.8,1,1
babyfactory,1.5,1,1,1,1,1,1,1,1.35,1,1,1,1
lowpower,1,1,2,1,0.5,0.5,0.7,1,1,1,1,0.5,0.7
halfrecoil,1,0.5,1,1,1,1,1,1,1,1,1,1,1
morerecoil,1,1.15,1,1,1,1,1,1,1,1,1,1,1
muchmorerecoil,1,1.35,1,1,1,1,1,1,1,1,1,1,1
lotsmorrecoil,1,1.8,1,1,1,1,1,1,1,1,1,1,1
tonsmorrecoil,1,4,1,1,1,1,1,1,1,1,1,1,1
doublereload,0.5,1,1,1,1,1,1,1,1,1,1,1,1
morereload,0.75,1,1,1,1,1,1,1,1,1,1,1,1
halfreload,2,1,1,1,1,1,1,1,1,1,1,1,1
lessreload,1.5,1,1,1,1,1,1,1,1,1,1,1,1
threequartersrof,1.333,1,1,1,1,1,1,1,1,1,1,1,1
morespeed,1,1,1,1,1,1,1,1.3,1.3,1,1,1,1
bitlessspeed,1,1,1,1,1,1,1,0.93,0.93,1,1,1,1
slow,1,1,1,1,1,1,1,0.7,0.7,1,1,1,1
halfspeed,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1
notdense,1,1,1,1,1,1,1,1,1,1,0.1,1,1
halfrange,1,1,1,1,1,1,1,1,1,0.5,1,1,1
fake,1,1,1,0.0001,0.0001,1,1,0.0001,2,0,1,1,1
op,0.5,1.3,1,1,4,4,4,3,2,1,5,2,1
protectorswarm,5,0.0001,1,1,100,1,1,1,1,0.5,5,1,10
